Title,Nom_source,Type_source,Periodiscite,Couverture_geographique,Date,rapport_GIEC
_ Cinq scientifiques proposent de réformer le Giec,Le Figaro,Presse • Journaux,Quotidien,Nationale,2010-02-11,AR4 Climate Change 2007: Synthesis Report
_ 5éme rapport du GIEC_ Repères,Libération,Presse • Journaux,Quotidien,Nationale,2014-11-03,AR5 Synthesis Report: Climate Change 2014
_ Jean-Pascal van Ypersele _ _ Les discussions financières risquent d_être difficiles _,Les Echos,Presse • Journaux,Quotidien,Nationale,2015-11-30,AR5 Synthesis Report: Climate Change 2014
_ Avant la conférence sur le climat 4_,La Croix,Presse • Journaux,Quotidien,Nationale,2015-06-08,AR5 Synthesis Report: Climate Change 2014
_ Le Giec mijote son quatrième concours de soupes,Ouest-France,Presse • Journaux,Quotidien,Régionale,2022-11-15,AR6 Climate Change 2022: Mitigation of Climate Change
_ Ces cinq mythes qui collent à l_image du changement climatique,CHARENTE LIBRE,Presse • Journaux,Quotidien,Régionale,2021-11-01,AR6 Climate Change 2021: The Physical Science Basis
_ __Unabated____ que veut dire ce mot-clé de la COP28__,Le Point.fr,Presse • Presse Web,En continu,Nationale,2023-12-02,AR6 Synthesis Report: Climate Change 2023
_ Nathalie Kosciusko-Morizet et Luc Ferry _ Quelle écologie pour aujourd_hui _,Le Figaro,Presse • Journaux,Quotidien,Nationale,2008-07-08,AR4 Climate Change 2007: Synthesis Report
_ Rajendra Pachauri _ _ Il nous reste sept ans pour inverser la courbe des émissions de CO2 _,Le Monde,Presse • Journaux,Quotidien,Internationale,2008-07-08,AR4 Climate Change 2007: Synthesis Report
_ Réflexion _ Accord de Paris _ l_océan au cœur de l_urgence _,Ouest-France,Presse • Journaux,Quotidien,Régionale,2020-12-01,The Ocean and Cryosphere in a Changing Climate
_ __La COP15 n_a pas été préparée pour aboutir à un _accord de Paris_ sur la biodiversité__,Le Monde (site web),Presse • Presse Web,En continu,Internationale,2022-12-12,AR6 Climate Change 2022: Mitigation of Climate Change
_ Agroalimentaire _ _ La recherche doit être plus transparente _,Les Echos (site web),Presse • Presse Web,En continu,Nationale,2020-11-06,The Ocean and Cryosphere in a Changing Climate
_ MedECC_ un Giec pour la Méditerranée,Le Point.fr,Presse • Presse Web,En continu,Nationale,2022-10-19,AR6 Climate Change 2022: Mitigation of Climate Change
_ Face au réchauffement climatique _ la politique piétine la science,Le Figaro,Presse • Journaux,Quotidien,Nationale,2008-01-19,AR4 Climate Change 2007: Synthesis Report
_ _ Les décisions appartiennent aux politiques_ À eux de trancher _,l'Humanité,Presse • Journaux,Quotidien,Nationale,2014-11-03,AR5 Synthesis Report: Climate Change 2014
_ _ L_humanité doit faire beaucoup plus _,Midi Libre,Presse • Journaux,Quotidien,Régionale,2022-11-21,AR6 Climate Change 2022: Mitigation of Climate Change
_ Le réchauffement climatique_ une réalité de combat,La Croix,Presse • Journaux,Quotidien,Nationale,2020-02-04,The Ocean and Cryosphere in a Changing Climate
_ Jean Jouzel _ Les scientifiques ont un devoir de vulgarisation,Les Echos,Presse • Journaux,Quotidien,Nationale,2005-04-21,Safeguarding the Ozone Layer and the Global Climate System
_ REPERES_ Une prise de conscience progressive,La Croix,Presse • Journaux,Quotidien,Nationale,2013-09-21,AR5 Climate Change 2013: The Physical Science Basis
